id,label
1,deer
2,airplane
3,automobile
4,ship
5,airplane
6,airplane
7,airplane
8,cat
9,cat
10,dog
11,bird
12,cat
13,horse
14,ship
15,cat
16,airplane
17,deer
18,bird
19,deer
20,deer
21,bird
22,ship
23,frog
24,automobile
25,bird
26,automobile
27,automobile
28,cat
29,deer
30,cat
31,dog
32,horse
33,dog
34,airplane
35,deer
36,cat
37,cat
38,cat
39,ship
40,cat
41,dog
42,bird
43,truck
44,deer
45,horse
46,automobile
47,horse
48,bird
49,airplane
50,cat
51,bird
52,dog
53,cat
54,ship
55,airplane
56,ship
57,bird
58,ship
59,bird
60,cat
61,dog
62,cat
63,deer
64,frog
65,ship
66,truck
67,automobile
68,truck
69,cat
70,cat
71,truck
72,frog
73,truck
74,cat
75,frog
76,horse
77,airplane
78,cat
79,horse
80,cat
81,cat
82,deer
83,ship
84,bird
85,cat
86,frog
87,dog
88,bird
89,frog
90,truck
91,automobile
92,airplane
93,bird
94,horse
95,automobile
96,frog
97,cat
98,bird
99,truck
100,bird
101,deer
102,airplane
103,cat
104,cat
105,ship
106,airplane
107,automobile
108,deer
109,frog
110,frog
111,horse
112,bird
113,deer
114,airplane
115,truck
116,horse
117,horse
118,dog
119,frog
120,frog
121,deer
122,truck
123,horse
124,cat
125,ship
126,dog
127,frog
128,dog
129,airplane
130,truck
131,truck
132,horse
133,airplane
134,automobile
135,truck
136,cat
137,frog
138,frog
139,dog
140,automobile
141,frog
142,cat
143,bird
144,deer
145,deer
146,automobile
147,cat
148,ship
149,bird
150,frog
151,horse
152,cat
153,dog
154,airplane
155,truck
156,horse
157,airplane
158,ship
159,frog
160,deer
161,cat
162,cat
163,ship
164,deer
165,frog
166,automobile
167,frog
168,cat
169,cat
170,frog
171,cat
172,cat
173,cat
174,frog
175,deer
176,ship
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,frog
185,ship
186,horse
187,ship
188,truck
189,cat
190,bird
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,airplane
197,automobile
198,cat
199,ship
200,deer
201,automobile
202,dog
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,automobile
209,cat
210,cat
211,automobile
212,horse
213,cat
214,frog
215,cat
216,ship
217,dog
218,airplane
219,deer
220,automobile
221,frog
222,deer
223,cat
224,deer
225,cat
226,bird
227,horse
228,cat
229,horse
230,truck
231,airplane
232,dog
233,cat
234,cat
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,dog
242,cat
243,cat
244,dog
245,cat
246,deer
247,bird
248,truck
249,horse
250,ship
251,airplane
252,ship
253,frog
254,airplane
255,dog
256,deer
257,frog
258,ship
259,deer
260,airplane
261,dog
262,truck
263,horse
264,horse
265,frog
266,bird
267,cat
268,bird
269,cat
270,truck
271,dog
272,truck
273,dog
274,dog
275,horse
276,ship
277,cat
278,horse
279,cat
280,dog
281,automobile
282,bird
283,cat
284,truck
285,cat
286,automobile
287,ship
288,truck
289,deer
290,deer
291,ship
292,deer
293,airplane
294,cat
295,ship
296,dog
297,cat
298,dog
299,ship
300,truck
301,dog
302,frog
303,frog
304,deer
305,bird
306,automobile
307,airplane
308,cat
309,cat
310,deer
311,automobile
312,ship
313,deer
314,truck
315,cat
316,frog
317,ship
318,cat
319,dog
320,frog
321,automobile
322,cat
323,ship
324,dog
325,horse
326,ship
327,cat
328,dog
329,deer
330,truck
331,bird
332,bird
333,bird
334,bird
335,deer
336,deer
337,dog
338,truck
339,bird
340,ship
341,ship
342,frog
343,deer
344,bird
345,ship
346,deer
347,airplane
348,horse
349,frog
350,truck
351,bird
352,truck
353,bird
354,frog
355,airplane
356,cat
357,cat
358,frog
359,airplane
360,cat
361,horse
362,airplane
363,airplane
364,automobile
365,frog
366,deer
367,dog
368,ship
369,ship
370,deer
371,frog
372,cat
373,cat
374,airplane
375,truck
376,airplane
377,frog
378,cat
379,automobile
380,dog
381,truck
382,airplane
383,airplane
384,ship
385,bird
386,bird
387,ship
388,truck
389,bird
390,dog
391,frog
392,frog
393,bird
394,frog
395,frog
396,frog
397,frog
398,deer
399,dog
400,deer
401,truck
402,deer
403,airplane
404,cat
405,deer
406,airplane
407,automobile
408,truck
409,bird
410,bird
411,horse
412,deer
413,ship
414,airplane
415,dog
416,frog
417,ship
418,deer
419,frog
420,dog
